English,Portugues
you,vocês
i,eu
the,a
to,para
a,uma
it,isto
and,e
that,que
of,de
is,é
in,no
what,que
we,nós
me,mim
this,esta
he,ele
for,para
my,minha
on,em
have,tenho
your,sua
do,Faz
was,era
no,não
not,não
be,ser
are,está
know,conhecer
can,posso
with,com
but,mas
all,todos
so,tão
just,apenas
there,lá
here,aqui
they,elas
like,Curti
get,obter
she,ela
go,vai
if,E se
right,direita
out,Fora
about,cerca de
up,pra cima
at,no
him,dele
now,agora
oh,oh
one,1
come,vir
well,Nós vamos
her,sua
how,Como as
yeah,sim
will,vontade
got,obteve
want,querer
think,pensar
as,Como
see,Vejo
did,fez
good,Boa
who,quem
why,porque
from,a partir de
let,deixar
his,seu
yes,sim
when,quando
going,vai
time,Tempo
an,um
okay,Certo
back,costas
look,Veja
us,nós
would,gostaria
them,eles
where,Onde
were,nós estamos
take,levar
then,então
had,teve
or,ou
been,estive
our,nosso
gonna,vai
tell,contar
really,verdade
man,cara
some,alguns
say,dizer
hey,Ei
could,poderia
didn,não
by,de
need,necessidade
something,algo
has,tem
too,também
more,mais
way,maneira
down,baixa
make,fazer
very,muito
never,nunca
only,só
people,pessoas
over,sobre
because,Porque
little,pouco
please,por favor
love,amar
should,devemos
mean,significar
said,disse
sorry,desculpa
give,dar
off,desligado
am,sou
thank,agradecer
any,nenhum
two,dois
even,até
much,Muito de
doing,fazendo
sure,certo
thing,coisa
these,esses
help,ajuda
first,primeiro
into,para dentro
anything,nada
still,ainda
find,achar
life,vida
nothing,nenhuma coisa
sir,Senhor
day,dia
god,Deus
work,trabalhos
their,deles
again,novamente
maybe,pode ser
must,deve
before,antes de
other,de outros
wait,esperar
stop,Pare
call,ligar
after,depois de
won,Ganhou
talk,conversa
away,um jeito
than,que
thought,pensei
home,casa
night,noite
put,colocar
great,excelente
those,Essa
last,durar
better,melhorar
everything,tudo
told,contou
mr.,Senhor.
new,novo
things,as coisas
always,sempre
keep,guarda
long,grande
years,anos
leave,deixar
does,faz
money,dinheiro
around,por aí
doesn,não
name,nome
place,"Lugar, colocar"
ever,sempre
feel,sentir
guys,rapazes
father,pai
guy,cara
made,fez
old,velho
which,qual
big,grande
lot,muitos
done,feito
hello,olá
nice,bom
believe,acreditam
girl,garota
someone,alguém
fine,multar
thanks,obrigado
wanted,procurado
kind,Gentil
coming,chegando
house,lar
every,cada
ok,OK
through,Através dos
being,sendo
course,curso
stay,ficar
left,deixei
dad,Papai
enough,o suficiente
happened,ocorrido
came,veio
may,poderia
mother,mãe
wrong,errado
world,mundo
bad,mau
might,poderia
three,três
today,hoje
listen,ouço
another,outro
understand,Compreendo
hear,ouvir
remember,lembrar
ask,perguntar
own,ter
same,mesmo
show,exposição
else,outro
kill,matar
talking,falando
found,encontrado
next,Next
getting,obtendo
care,Cuidado
car,carro
looking,olhando
son,filho
try,experimentar
woman,mulher
went,fui
hi,Oi
dead,morto
many,vários
mind,mente
wasn,não era
friend,amigo
best,melhor
mom,mamãe
hell,inferno
morning,manhã
trying,tentando
boy,Garoto
together,junto
yourself,você mesmo
job,trabalho
saw,vi
family,família
real,real
without,sem
baby,bebê
room,sala
wouldn,não
already,já
move,jogada
most,mais
seen,visto
live,viver
miss,senhorita
actually,na verdade
huh,Hã
shit,merda
both,Ambas
heard,ouviu
once,uma vez
ready,pronto
head,cabeça
called,chamado
used,usava
idea,idéia
knew,sabia
hold,aguarde
happy,feliz
door,porta
such,tal
fuck,Porra
brother,irmão
also,tb
pretty,bonito
bit,pouco
took,tomou
haven,refúgio
yet,ainda
men,homens
whole,inteira
start,começar
use,usar
while,enquanto
since,Desde a
wife,esposa
days,dias
guess,adivinhar
tomorrow,amanhã
matter,importam
meet,encontrar
bring,trazer
tonight,essa noite
everyone,todos
run,corre
wanna,quer
hard,duro
ah,Ah
alone,sozinho
myself,Eu mesmo
school,escola
gone,perdido
um,hum
end,fim
saying,dizendo
phone,telefone
play,Toque
looks,parece
couldn,não poderia
fucking,Porra
problem,problema
few,alguns
friends,amigos
gotta,preciso
ago,atrás
open,abrir
anyone,alguém
killed,morto
hope,esperança
face,cara
until,até
lost,perdido
police,polícia
excuse,com licença
turn,virar
business,o negócio
case,caso
wants,quer
says,diz
TRUE,VERDADE
die,morrer
heart,coração
soon,em breve
each,cada
worry,preocupação
later,mais tarde
year,ano
watch,Assistir
music,música
hand,mão
having,tendo
probably,provavelmente
beautiful,bonita
doctor,doutor
sit,sentar
eat,comer
thinking,pensando
young,jovem
second,segundo
working,trabalhando
water,agua
person,pessoa
part,papel
kids,crianças
late,tarde
stuff,coisa
exactly,exatamente
under,debaixo
death,morte
minute,minuto
pay,pagar
crazy,louco
forget,esquecer
everybody,todo mundo
kid,miúdo
change,mudança
gave,deram
happen,acontecer
damn,droga
five,cinco
drink,beber
far,longe
knows,sabe
its,Está
whatever,qualquer que seja
eyes,olhos
shut,fechar
aren,are
hit,bater
taking,levando
easy,fácil
times,vezes
check,Verifica
hands,mãos
minutes,minutos
deal,acordo
different,diferente
means,meios
point,apontar
inside,lado de dentro
makes,faz
asked,Perguntou
somebody,alguém
mine,meu
making,fazer
body,corpo
afraid,com medo
sleep,dorme
chance,chance
dear,caro
quite,bastante
four,quatro
anyway,qualquer maneira
close,perto
ain,Ain
party,Festa
fun,Diversão
against,contra
word,palavra
comes,vem
important,importante
set,definir
shall,deve
story,história
number,número
daughter,filha
least,ao menos
waiting,espera
hurt,ferir
wish,desejar
moment,momento
fight,lutar
week,semana
husband,marido
girls,garotas
rest,descanso
married,casado
fire,fogo
game,jogos
nobody,ninguém
mr,Sr
children,crianças
side,lateral
stand,ficar
read,ler
though,no entanto
cut,cortar
started,começado
sister,irmã
supposed,suposto
between,entre
child,filho
goes,vai
hours,horas
speak,falar
women,mulheres
behind,atras do
almost,quase
truth,verdade
blood,sangue
able,capaz
lady,senhora
anymore,não mais
playing,jogando
gets,recebe
shot,tomada
reason,razão
trouble,dificuldade
break,pausa
war,guerra
city,cidade
walk,caminhar
town,Cidade
trust,Confiar em
dr.,dr.
met,conheceu
office,escritório
question,pergunta
brought,trouxeram
yours,Sua
welcome,Bem-vindo
high,Alto
wow,uau
couple,casal
half,metade
died,morreu
cool,frio
free,gratuitamente
either,qualquer
seems,parece
power,potência
whoa,Uau
bye,tchau
buy,Comprar
telling,dizendo
honey,mel
tried,tentou
front,frente
team,equipe
answer,responder
gun,arma de fogo
boys,Rapazes
line,linha
send,mandar
news,notícias
stupid,estúpido
bed,cama
hurry,pressa
full,cheio
months,meses
save,Salve 
sometimes,as vezes
become,vir a ser
along,ao longo
hate,ódio
food,Comida
outside,fora
light,claro
l,eu
needs,precisa
dog,cão
country,país
clear,Claro
order,pedido
em,Em
fact,facto
lord,senhor
captain,capitão
six,seis
hot,quente
funny,engraçado
black,Preto
mrs.,Sra.
alive,vivo
pick,escolher
feeling,sentimento
living,vivo
cause,causa
